Transaction_ID,Customer_ID,Transaction_Date,Product,Category,Quantity,Unit_Price,Discount,Sales,Payment_Method,Returned,Revenue,Signup_Date,Country,Acquisition_Channel,Plan
T09971,C0809,2024-09-23,Mouse,Electronics,3,34.58,0.0,103.75,Credit Card,No,103.74,2024-08-03,Germany,Google Ads,Basic
T00004,C0302,2025-02-17,Headphones,Electronics,1,127.73,0.0,127.73,PayPal,No,127.73,2024-12-07,UK,Organic,Premium
T00231,C0302,2025-06-05,Camera,Electronics,2,696.08,0.0,1392.16,PayPal,No,1392.16,2024-12-07,UK,Organic,Premium
T01975,C0302,2025-02-27,Mouse,Electronics,1,88.73,0.0,88.73,Mobile Payment,No,88.73,2024-12-07,UK,Organic,Premium
T03559,C0302,2025-02-23,Keyboard,Electronics,1,147.64,0.05,140.26,Mobile Payment,No,140.25799999999998,2024-12-07,UK,Organic,Premium
T05364,C0302,2025-12-31,Keyboard,Electronics,2,49.48,0.0,98.95,PayPal,No,98.96,2024-12-07,UK,Organic,Premium
T07003,C0302,2025-11-24,Speaker,Electronics,3,269.71,0.05,768.66,Debit Card,No,768.6734999999999,2024-12-07,UK,Organic,Premium
T00005,C0771,2025-12-31,Mouse,Electronics,1,33.17,0.0,33.17,Mobile Payment,No,33.17,2025-02-13,USA,Organic,Standard
T00276,C0771,2025-06-02,Monitor,Electronics,3,375.08,0.0,1125.24,Mobile Payment,No,1125.24,2025-02-13,USA,Organic,Standard
T09088,C0771,2025-12-31,Headphones,Electronics,1,137.25,0.05,130.39,Credit Card,Yes,130.3875,2025-02-13,USA,Organic,Standard
T00006,C0243,2025-12-31,Tablet,Electronics,1,268.4,0.0,268.4,Debit Card,No,268.4,2025-03-28,Canada,Organic,Premium
T06390,C0243,2025-12-31,Camera,Electronics,1,676.62,0.0,676.62,PayPal,No,676.62,2025-03-28,Canada,Organic,Premium
T07497,C0243,2025-06-05,Keyboard,Electronics,1,144.3,0.0,144.3,PayPal,No,144.3,2025-03-28,Canada,Organic,Premium
T09046,C0243,2025-04-26,Keyboard,Electronics,1,170.9,0.0,170.9,Credit Card,No,170.9,2025-03-28,Canada,Organic,Premium
T00007,C1021,2024-09-10,Phone,Electronics,1,869.7,0.1,782.73,PayPal,Yes,782.73,2024-08-31,USA,Organic,Basic
T06784,C1021,2025-07-06,Speaker,Electronics,2,238.76,0.1,429.76,Mobile Payment,No,429.768,2024-08-31,USA,Organic,Basic
T00008,C1152,2025-05-06,Smartwatch,Electronics,1,297.14,0.0,297.14,Mobile Payment,No,297.14,2024-11-25,Canada,Email,Standard
T00663,C1152,2025-01-17,Speaker,Electronics,1,164.55,0.05,156.33,Debit Card,No,156.3225,2024-11-25,Canada,Email,Standard
T00715,C1152,2025-09-09,Tablet,Electronics,1,473.5,0.0,473.5,Credit Card,No,473.5,2024-11-25,Canada,Email,Standard
T01463,C1152,2025-07-02,Mouse,Electronics,2,38.12,0.05,72.43,Debit Card,No,72.428,2024-11-25,Canada,Email,Standard
T01714,C1152,2025-06-30,Headphones,Electronics,2,72.12,0.0,144.23,Mobile Payment,Yes,144.24,2024-11-25,Canada,Email,Standard
T02165,C1152,2025-06-19,Keyboard,Electronics,2,178.74,0.0,357.49,PayPal,No,357.48,2024-11-25,Canada,Email,Standard
T02763,C1152,2025-10-20,Mouse,Electronics,1,16.35,0.0,16.35,Credit Card,No,16.35,2024-11-25,Canada,Email,Standard
T03271,C1152,2025-07-23,Smartwatch,Electronics,4,199.99,0.0,799.97,Debit Card,No,799.96,2024-11-25,Canada,Email,Standard
T03298,C1152,2025-10-19,Tablet,Electronics,2,580.23,0.0,1160.46,Debit Card,No,1160.46,2024-11-25,Canada,Email,Standard
T04059,C1152,2025-12-31,Phone,Electronics,1,508.07,0.05,482.67,Debit Card,No,482.6665,2024-11-25,Canada,Email,Standard
T04547,C1152,2024-12-15,Headphones,Electronics,1,192.18,0.15,163.35,Debit Card,No,163.353,2024-11-25,Canada,Email,Standard
T04843,C1152,2025-12-31,Mouse,Electronics,1,84.53,0.05,80.3,Mobile Payment,No,80.3035,2024-11-25,Canada,Email,Standard
T05869,C1152,2025-03-15,Camera,Electronics,1,1040.15,0.0,1040.15,Credit Card,No,1040.15,2024-11-25,Canada,Email,Standard
T06011,C1152,2025-12-31,Phone,Electronics,2,351.93,0.0,703.86,PayPal,Yes,703.86,2024-11-25,Canada,Email,Standard
T06235,C1152,2025-04-14,Tablet,Electronics,1,334.56,0.05,317.83,Credit Card,No,317.832,2024-11-25,Canada,Email,Standard
T07053,C1152,2025-04-17,Camera,Electronics,3,371.48,0.0,1114.44,Debit Card,No,1114.44,2024-11-25,Canada,Email,Standard
T07701,C1152,2025-03-12,Mouse,Electronics,1,25.96,0.05,24.66,PayPal,No,24.662,2024-11-25,Canada,Email,Standard
T07895,C1152,2025-07-17,Keyboard,Electronics,1,53.06,0.0,53.06,PayPal,No,53.06,2024-11-25,Canada,Email,Standard
T07986,C1152,2024-11-30,Speaker,Electronics,2,242.95,0.1,437.31,Credit Card,No,437.31,2024-11-25,Canada,Email,Standard
T07997,C1152,2025-12-31,Mouse,Electronics,4,85.47,0.1,307.69,Mobile Payment,No,307.692,2024-11-25,Canada,Email,Standard
T09818,C1152,2025-05-14,Laptop,Electronics,1,876.39,0.1,788.75,Credit Card,No,788.751,2024-11-25,Canada,Email,Standard
T00009,C0172,2024-12-23,Headphones,Electronics,1,32.24,0.1,29.02,PayPal,No,29.016000000000002,2024-05-23,Thailand,Referral,Standard
T01828,C0172,2025-05-03,Mouse,Electronics,2,30.05,0.1,54.09,Credit Card,No,54.09,2024-05-23,Thailand,Referral,Standard
T01952,C0172,2025-07-04,Monitor,Electronics,1,357.62,0.1,321.86,PayPal,No,321.858,2024-05-23,Thailand,Referral,Standard
T02122,C0172,2024-11-11,Laptop,Electronics,1,1186.56,0.2,949.25,Mobile Payment,No,949.248,2024-05-23,Thailand,Referral,Standard
T02367,C0172,2025-07-21,Camera,Electronics,2,436.81,0.0,873.63,Mobile Payment,Yes,873.62,2024-05-23,Thailand,Referral,Standard
T02481,C0172,2025-04-02,Headphones,Electronics,1,181.78,0.05,172.69,PayPal,No,172.691,2024-05-23,Thailand,Referral,Standard
T02706,C0172,2025-06-06,Smartwatch,Electronics,1,201.49,0.0,201.49,Mobile Payment,No,201.49,2024-05-23,Thailand,Referral,Standard
T02828,C0172,2025-04-17,Mouse,Electronics,1,24.68,0.0,24.68,PayPal,No,24.68,2024-05-23,Thailand,Referral,Standard
T03425,C0172,2025-05-28,Headphones,Electronics,1,120.08,0.0,120.08,Mobile Payment,No,120.08,2024-05-23,Thailand,Referral,Standard
T04705,C0172,2025-04-27,Mouse,Electronics,2,55.38,0.0,110.76,Mobile Payment,No,110.76,2024-05-23,Thailand,Referral,Standard
T06180,C0172,2025-05-31,Mouse,Electronics,2,57.65,0.0,115.3,Mobile Payment,No,115.3,2024-05-23,Thailand,Referral,Standard
T06184,C0172,2024-12-15,Phone,Electronics,3,682.82,0.0,2048.46,Mobile Payment,No,2048.46,2024-05-23,Thailand,Referral,Standard
T06618,C0172,2025-07-21,Phone,Electronics,2,485.52,0.0,971.04,Credit Card,No,971.04,2024-05-23,Thailand,Referral,Standard
T07343,C0172,2024-07-26,Tablet,Electronics,3,227.08,0.0,681.24,PayPal,No,681.24,2024-05-23,Thailand,Referral,Standard
T08004,C0172,2024-11-21,Headphones,Electronics,4,205.07,0.05,779.26,Credit Card,No,779.266,2024-05-23,Thailand,Referral,Standard
T08685,C0172,2024-08-07,Smartwatch,Electronics,1,201.74,0.1,181.57,PayPal,No,181.566,2024-05-23,Thailand,Referral,Standard
T09152,C0172,2025-09-25,Speaker,Electronics,3,61.38,0.0,184.13,Debit Card,No,184.14000000000001,2024-05-23,Thailand,Referral,Standard
T09222,C0172,2025-05-15,Laptop,Electronics,2,746.09,0.15,1268.35,Debit Card,No,1268.353,2024-05-23,Thailand,Referral,Standard
T00010,C0723,2025-03-20,Phone,Electronics,3,424.53,0.05,1209.92,Credit Card,No,1209.9105,2025-03-16,USA,Email,Premium
T02574,C0723,2025-12-31,Speaker,Electronics,1,163.05,0.0,163.05,Debit Card,No,163.05,2025-03-16,USA,Email,Premium
T03112,C0723,2025-03-29,Tablet,Electronics,1,534.71,0.0,534.71,Mobile Payment,No,534.71,2025-03-16,USA,Email,Premium
T03331,C0723,2025-09-24,Headphones,Electronics,2,31.17,0.1,56.11,PayPal,No,56.106,2025-03-16,USA,Email,Premium
T03370,C0723,2025-12-08,Headphones,Electronics,1,114.31,0.15,97.16,PayPal,Yes,97.1635,2025-03-16,USA,Email,Premium
T03454,C0723,2025-08-18,Smartwatch,Electronics,1,314.63,0.0,314.63,Debit Card,No,314.63,2025-03-16,USA,Email,Premium
T04729,C0723,2025-12-31,Headphones,Electronics,1,151.27,0.1,136.14,PayPal,Yes,136.143,2025-03-16,USA,Email,Premium
T04796,C0723,2025-11-30,Camera,Electronics,1,601.21,0.0,601.21,PayPal,No,601.21,2025-03-16,USA,Email,Premium
T05158,C0723,2025-04-30,Monitor,Electronics,1,173.34,0.1,156.01,Credit Card,No,156.006,2025-03-16,USA,Email,Premium
T05450,C0723,2025-12-31,Phone,Electronics,1,460.23,0.1,414.21,Mobile Payment,No,414.20700000000005,2025-03-16,USA,Email,Premium
T05487,C0723,2025-12-31,Mouse,Electronics,1,90.56,0.0,90.56,Mobile Payment,No,90.56,2025-03-16,USA,Email,Premium
T05723,C0723,2025-06-04,Tablet,Electronics,2,379.92,0.05,721.85,PayPal,No,721.848,2025-03-16,USA,Email,Premium
T06042,C0723,2025-12-31,Headphones,Electronics,2,38.98,0.1,70.16,Debit Card,No,70.164,2025-03-16,USA,Email,Premium
T06572,C0723,2025-12-31,Phone,Electronics,1,313.87,0.05,298.18,Debit Card,No,298.1765,2025-03-16,USA,Email,Premium
T07803,C0723,2025-08-23,Speaker,Electronics,4,277.37,0.0,1109.49,Mobile Payment,No,1109.48,2025-03-16,USA,Email,Premium
T08128,C0723,2025-07-08,Laptop,Electronics,1,1042.8,0.0,1042.8,Debit Card,No,1042.8,2025-03-16,USA,Email,Premium
T08221,C0723,2025-12-31,Smartwatch,Electronics,1,213.82,0.0,213.82,PayPal,Yes,213.82,2025-03-16,USA,Email,Premium
T08387,C0723,2025-03-27,Monitor,Electronics,1,347.32,0.05,329.96,PayPal,No,329.95399999999995,2025-03-16,USA,Email,Premium
T08677,C0723,2025-12-31,Tablet,Electronics,3,647.34,0.05,1844.92,Credit Card,No,1844.9189999999999,2025-03-16,USA,Email,Premium
T08724,C0723,2025-07-02,Speaker,Electronics,1,264.35,0.0,264.35,Debit Card,No,264.35,2025-03-16,USA,Email,Premium
T08908,C0723,2025-08-02,Monitor,Electronics,2,209.63,0.0,419.27,Mobile Payment,No,419.26,2025-03-16,USA,Email,Premium
T08937,C0723,2025-12-22,Monitor,Electronics,4,317.03,0.15,1077.91,PayPal,No,1077.9019999999998,2025-03-16,USA,Email,Premium
T09284,C0723,2025-11-11,Mouse,Electronics,1,74.58,0.05,70.85,PayPal,No,70.851,2025-03-16,USA,Email,Premium
T09669,C0723,2025-07-22,Headphones,Electronics,1,55.67,0.15,47.32,Credit Card,No,47.3195,2025-03-16,USA,Email,Premium
T00011,C0109,2025-11-15,Smartwatch,Electronics,1,119.49,0.0,119.49,PayPal,No,119.49,2025-04-05,Thailand,Organic,Basic
T00217,C0109,2025-12-31,Keyboard,Electronics,1,147.28,0.0,147.28,Debit Card,No,147.28,2025-04-05,Thailand,Organic,Basic
T01123,C0109,2025-05-01,Monitor,Electronics,1,361.13,0.1,325.02,Mobile Payment,No,325.017,2025-04-05,Thailand,Organic,Basic
T01283,C0109,2025-12-31,Speaker,Electronics,2,173.04,0.05,328.77,Mobile Payment,No,328.77599999999995,2025-04-05,Thailand,Organic,Basic
T02221,C0109,2025-04-12,Smartwatch,Electronics,1,304.25,0.0,304.25,Debit Card,No,304.25,2025-04-05,Thailand,Organic,Basic
T02615,C0109,2025-12-31,Phone,Electronics,2,341.34,0.0,682.67,Credit Card,No,682.68,2025-04-05,Thailand,Organic,Basic
T05400,C0109,2025-06-09,Phone,Electronics,1,452.22,0.0,452.22,Mobile Payment,No,452.22,2025-04-05,Thailand,Organic,Basic
T06317,C0109,2025-05-29,Headphones,Electronics,2,63.43,0.05,120.52,Debit Card,No,120.517,2025-04-05,Thailand,Organic,Basic
T06319,C0109,2025-12-31,Headphones,Electronics,1,52.23,0.0,52.23,Debit Card,Yes,52.23,2025-04-05,Thailand,Organic,Basic
T06495,C0109,2025-12-31,Headphones,Electronics,2,191.45,0.1,344.61,Debit Card,No,344.61,2025-04-05,Thailand,Organic,Basic
T09116,C0109,2025-12-31,Monitor,Electronics,1,187.16,0.05,177.8,PayPal,No,177.802,2025-04-05,Thailand,Organic,Basic
T09409,C0109,2025-12-26,Monitor,Electronics,2,215.45,0.0,430.9,PayPal,No,430.9,2025-04-05,Thailand,Organic,Basic
T00012,C0904,2025-07-28,Speaker,Electronics,1,78.25,0.0,78.25,Debit Card,No,78.25,2024-07-12,India,Social Media,Standard
T01130,C0904,2025-06-11,Smartwatch,Electronics,1,332.38,0.0,332.38,Debit Card,Yes,332.38,2024-07-12,India,Social Media,Standard
T01365,C0904,2025-05-21,Phone,Electronics,1,632.92,0.0,632.92,PayPal,No,632.92,2024-07-12,India,Social Media,Standard
T01949,C0904,2024-12-03,Camera,Electronics,1,603.17,0.0,603.17,Debit Card,No,603.17,2024-07-12,India,Social Media,Standard
T02107,C0904,2024-12-31,Mouse,Electronics,2,47.9,0.0,95.81,Credit Card,No,95.8,2024-07-12,India,Social Media,Standard
T03405,C0904,2025-09-03,Phone,Electronics,1,281.1,0.05,267.05,PayPal,No,267.045,2024-07-12,India,Social Media,Standard
T04492,C0904,2024-12-24,Mouse,Electronics,1,27.27,0.15,23.18,Credit Card,Yes,23.179499999999997,2024-07-12,India,Social Media,Standard
T05137,C0904,2025-10-05,Keyboard,Electronics,1,150.46,0.1,135.41,Debit Card,No,135.41400000000002,2024-07-12,India,Social Media,Standard
T05715,C0904,2024-09-07,Speaker,Electronics,1,259.37,0.0,259.37,Credit Card,No,259.37,2024-07-12,India,Social Media,Standard
T05952,C0904,2025-03-14,Camera,Electronics,1,590.82,0.0,590.82,PayPal,No,590.82,2024-07-12,India,Social Media,Standard
T06039,C0904,2025-02-15,Keyboard,Electronics,1,136.34,0.0,136.34,PayPal,Yes,136.34,2024-07-12,India,Social Media,Standard
T07025,C0904,2025-06-28,Phone,Electronics,1,616.34,0.0,616.34,PayPal,No,616.34,2024-07-12,India,Social Media,Standard
T07738,C0904,2025-10-23,Phone,Electronics,3,168.31,0.0,504.94,PayPal,No,504.93,2024-07-12,India,Social Media,Standard
T08922,C0904,2025-08-06,Keyboard,Electronics,1,137.42,0.0,137.42,Mobile Payment,Yes,137.42,2024-07-12,India,Social Media,Standard
T09018,C0904,2024-07-16,Keyboard,Electronics,1,38.84,0.0,38.84,Mobile Payment,No,38.84,2024-07-12,India,Social Media,Standard
T09022,C0904,2025-08-02,Mouse,Electronics,1,27.62,0.0,27.62,PayPal,No,27.62,2024-07-12,India,Social Media,Standard
T09698,C0904,2025-03-15,Headphones,Electronics,1,93.87,0.0,93.87,Debit Card,No,93.87,2024-07-12,India,Social Media,Standard
T00013,C0401,2024-10-28,Speaker,Electronics,3,221.33,0.05,630.78,Debit Card,No,630.7905,2024-09-29,UK,Social Media,Basic
T00389,C0401,2025-12-29,Monitor,Electronics,1,435.81,0.0,435.81,Debit Card,No,435.81,2024-09-29,UK,Social Media,Basic
T01865,C0401,2024-11-11,Headphones,Electronics,3,138.18,0.15,352.35,Debit Card,No,352.359,2024-09-29,UK,Social Media,Basic
T06200,C0401,2025-01-18,Smartwatch,Electronics,1,169.24,0.0,169.24,PayPal,No,169.24,2024-09-29,UK,Social Media,Basic
T08877,C0401,2025-10-07,Camera,Electronics,1,385.09,0.0,385.09,Debit Card,No,385.09,2024-09-29,UK,Social Media,Basic
T00014,C0800,2025-12-13,Keyboard,Electronics,3,112.86,0.0,338.58,Debit Card,No,338.58,2025-02-14,Thailand,Email,Basic
T02974,C0800,2025-02-19,Keyboard,Electronics,1,174.55,0.0,174.55,PayPal,No,174.55,2025-02-14,Thailand,Email,Basic
T02997,C0800,2025-07-02,Smartwatch,Electronics,2,304.33,0.0,608.66,Debit Card,No,608.66,2025-02-14,Thailand,Email,Basic
T03449,C0800,2025-04-07,Smartwatch,Electronics,2,180.15,0.0,360.3,Credit Card,No,360.3,2025-02-14,Thailand,Email,Basic
T03542,C0800,2025-02-23,Keyboard,Electronics,1,33.98,0.05,32.29,Mobile Payment,No,32.281,2025-02-14,Thailand,Email,Basic
T06124,C0800,2025-10-02,Laptop,Electronics,1,883.44,0.0,883.44,Debit Card,No,883.44,2025-02-14,Thailand,Email,Basic
T06156,C0800,2025-05-13,Keyboard,Electronics,2,63.83,0.0,127.67,Debit Card,No,127.66,2025-02-14,Thailand,Email,Basic
T06721,C0800,2025-12-31,Keyboard,Electronics,1,164.37,0.2,131.5,Debit Card,No,131.496,2025-02-14,Thailand,Email,Basic
T07359,C0800,2025-12-31,Tablet,Electronics,1,382.46,0.0,382.46,Debit Card,No,382.46,2025-02-14,Thailand,Email,Basic
T07362,C0800,2025-06-15,Headphones,Electronics,2,216.18,0.1,389.12,Debit Card,No,389.124,2025-02-14,Thailand,Email,Basic
T07417,C0800,2025-09-17,Smartwatch,Electronics,2,338.36,0.0,676.73,Credit Card,No,676.72,2025-02-14,Thailand,Email,Basic
T07717,C0800,2025-12-21,Keyboard,Electronics,2,89.85,0.0,179.69,Debit Card,No,179.7,2025-02-14,Thailand,Email,Basic
T08051,C0800,2025-12-21,Monitor,Electronics,1,234.06,0.0,234.06,Debit Card,No,234.06,2025-02-14,Thailand,Email,Basic
T09259,C0800,2025-12-08,Tablet,Electronics,2,606.72,0.1,1092.1,PayPal,No,1092.096,2025-02-14,Thailand,Email,Basic
T00015,C0783,2025-03-03,Monitor,Electronics,1,354.27,0.05,336.56,Debit Card,No,336.55649999999997,2024-08-12,Germany,Email,Standard
T00387,C0783,2025-10-14,Mouse,Electronics,1,99.41,0.0,99.41,Credit Card,No,99.41,2024-08-12,Germany,Email,Standard
T03487,C0783,2025-05-14,Camera,Electronics,1,743.69,0.0,743.69,Mobile Payment,No,743.69,2024-08-12,Germany,Email,Standard
T04822,C0783,2025-06-07,Headphones,Electronics,1,95.39,0.1,85.85,Credit Card,No,85.851,2024-08-12,Germany,Email,Standard
T05847,C0783,2025-05-01,Speaker,Electronics,3,204.91,0.2,491.79,PayPal,No,491.78400000000005,2024-08-12,Germany,Email,Standard
T06819,C0783,2025-03-12,Tablet,Electronics,2,585.8,0.0,1171.59,Debit Card,No,1171.6,2024-08-12,Germany,Email,Standard
T08527,C0783,2025-03-17,Speaker,Electronics,1,269.69,0.0,269.69,PayPal,No,269.69,2024-08-12,Germany,Email,Standard
T09066,C0783,2025-08-20,Tablet,Electronics,2,289.27,0.05,549.6,Mobile Payment,No,549.6129999999999,2024-08-12,Germany,Email,Standard
T00016,C1396,2025-12-31,Phone,Electronics,2,373.17,0.0,746.35,PayPal,No,746.34,2025-06-20,Canada,Google Ads,Premium
T00738,C1396,2025-12-31,Mouse,Electronics,1,69.74,0.0,69.74,Credit Card,No,69.74,2025-06-20,Canada,Google Ads,Premium
T01423,C1396,2025-12-31,Laptop,Electronics,1,1045.4,0.0,1045.4,Mobile Payment,No,1045.4,2025-06-20,Canada,Google Ads,Premium
T01611,C1396,2025-12-31,Monitor,Electronics,1,216.53,0.1,194.88,Credit Card,No,194.877,2025-06-20,Canada,Google Ads,Premium
T01634,C1396,2025-12-31,Laptop,Electronics,1,1380.36,0.05,1311.35,Mobile Payment,Yes,1311.3419999999999,2025-06-20,Canada,Google Ads,Premium
T01638,C1396,2025-12-31,Speaker,Electronics,1,149.02,0.0,149.02,Mobile Payment,No,149.02,2025-06-20,Canada,Google Ads,Premium
T02540,C1396,2025-12-31,Speaker,Electronics,1,153.21,0.15,130.23,Credit Card,No,130.2285,2025-06-20,Canada,Google Ads,Premium
T02866,C1396,2025-08-24,Keyboard,Electronics,2,132.48,0.0,264.96,Debit Card,No,264.96,2025-06-20,Canada,Google Ads,Premium
T03373,C1396,2025-12-16,Monitor,Electronics,2,508.68,0.0,1017.36,Credit Card,No,1017.36,2025-06-20,Canada,Google Ads,Premium
T04970,C1396,2025-12-31,Tablet,Electronics,1,511.33,0.0,511.33,Debit Card,No,511.33,2025-06-20,Canada,Google Ads,Premium
T05851,C1396,2025-12-31,Mouse,Electronics,2,25.02,0.05,47.55,PayPal,No,47.538,2025-06-20,Canada,Google Ads,Premium
T07113,C1396,2025-07-06,Mouse,Electronics,1,92.81,0.0,92.81,PayPal,No,92.81,2025-06-20,Canada,Google Ads,Premium
T07521,C1396,2025-12-31,Keyboard,Electronics,2,115.28,0.15,195.98,Credit Card,No,195.976,2025-06-20,Canada,Google Ads,Premium
T08026,C1396,2025-12-31,Mouse,Electronics,1,66.3,0.0,66.3,Credit Card,No,66.3,2025-06-20,Canada,Google Ads,Premium
T08767,C1396,2025-12-31,Laptop,Electronics,2,1102.47,0.0,2204.94,PayPal,No,2204.94,2025-06-20,Canada,Google Ads,Premium
