Customer_ID,Signup_Date,Country,Acquisition_Channel,Plan
C0073,2025-05-07,USA,Email,Basic
C0074,2024-02-10,USA,Email,Basic
C0075,2024-06-05,Germany,Referral,Basic
C0076,2024-01-15,UK,Social Media,Standard
C0077,2024-03-05,USA,Social Media,Standard
C0078,2025-06-04,Thailand,Email,Basic
C0079,2024-12-09,USA,Google Ads,Basic
C0080,2024-05-08,USA,Google Ads,Standard
C0081,2025-04-16,USA,Social Media,Basic
C0082,2024-03-03,UK,Referral,Standard
C0083,2024-05-18,UK,Organic,Basic
C0084,2025-05-13,India,Social Media,Standard
C0085,2025-01-26,Australia,Organic,Premium
C0086,2025-02-22,Australia,Google Ads,Basic
C0087,2024-10-15,India,Email,Standard
C0088,2025-01-13,Canada,Email,Basic
C0089,2025-05-04,Thailand,Email,Standard
C0090,2024-08-18,Thailand,Google Ads,Standard
C0091,2024-02-10,Thailand,Email,Basic
C0092,2024-01-28,India,Social Media,Standard
C0093,2024-05-14,Germany,Email,Premium
C0094,2024-07-19,Thailand,Organic,Basic
C0095,2024-02-02,Canada,Social Media,Basic
C0096,2024-02-17,Thailand,Email,Premium
C0097,2025-05-17,Canada,Email,Standard
C0098,2025-02-10,USA,Social Media,Premium
C0099,2024-04-08,Thailand,Email,Standard
C0100,2025-06-30,UK,Organic,Premium
C0101,2025-04-06,Thailand,Email,Standard
C0102,2024-01-05,Thailand,Referral,Standard
C0103,2024-08-05,USA,Google Ads,Premium
C0104,2025-05-17,Australia,Social Media,Standard
C0105,2025-02-01,UK,Google Ads,Basic
C0106,2025-01-27,USA,Organic,Basic
C0107,2024-07-25,India,Email,Basic
C0108,2024-01-15,India,Social Media,Basic
C0109,2025-04-05,Thailand,Organic,Basic
C0110,2024-08-28,USA,Email,Standard
C0111,2024-04-05,Thailand,Email,Standard
C0112,2025-04-29,Thailand,Email,Standard
C0113,2025-02-10,India,Referral,Standard
C0114,2024-08-18,Thailand,Organic,Basic
C0115,2024-06-19,UK,Google Ads,Basic
C0116,2025-06-24,India,Organic,Basic
C0117,2024-02-05,Thailand,Referral,Standard
C0118,2025-06-08,UK,Organic,Basic
C0119,2024-06-08,Thailand,Email,Basic
C0120,2024-08-30,Canada,Social Media,Basic
C0121,2024-03-26,UK,Social Media,Premium
C0122,2024-01-28,Australia,Email,Basic
C0123,2024-12-05,UK,Email,Standard
C0124,2024-11-26,Thailand,Email,Standard
C0125,2025-05-20,India,Email,Standard
C0126,2024-12-13,Canada,Organic,Premium
C0127,2025-04-17,India,Google Ads,Basic
C0128,2024-08-18,Australia,Email,Basic
C0129,2024-07-08,Germany,Email,Premium
C0130,2024-08-12,Thailand,Google Ads,Standard
C0131,2025-01-19,Thailand,Referral,Standard
C0132,2025-01-11,India,Google Ads,Standard
C0133,2024-10-09,USA,Organic,Standard
C0134,2024-09-15,Australia,Organic,Premium
C0135,2024-12-24,Germany,Referral,Premium
C0136,2025-03-31,USA,Email,Standard
C0137,2025-02-14,Thailand,Organic,Basic
C0138,2024-11-13,Australia,Google Ads,Premium
C0139,2024-08-12,Thailand,Google Ads,Basic
C0140,2024-08-21,Australia,Google Ads,Basic
C0141,2025-01-08,USA,Email,Premium
C0142,2025-04-16,India,Organic,Basic
C0143,2024-08-20,Thailand,Referral,Basic
C0144,2024-04-22,India,Email,Basic
C0145,2025-05-11,USA,Social Media,Premium
C0146,2025-03-17,UK,Social Media,Standard
C0147,2024-09-24,Thailand,Google Ads,Standard
C0148,2025-05-24,India,Email,Basic
C0149,2025-01-20,Germany,Email,Standard
C0150,2025-01-21,Thailand,Google Ads,Standard
C0151,2024-04-22,Thailand,Social Media,Basic
C0152,2024-03-21,Thailand,Referral,Basic
C0153,2024-04-22,India,Organic,Basic
C0154,2024-01-02,India,Organic,Premium
C0155,2024-08-07,UK,Referral,Standard
C0156,2024-08-12,Thailand,Social Media,Premium
C0157,2025-01-19,USA,Referral,Basic
C0158,2025-02-06,UK,Organic,Standard
C0159,2024-05-09,UK,Google Ads,Standard
C0160,2024-02-22,Canada,Social Media,Standard
C0161,2025-02-19,Thailand,Social Media,Premium
C0162,2024-09-03,India,Email,Basic
C0163,2025-03-14,USA,Organic,Basic
C0164,2024-07-21,USA,Google Ads,Standard
C0165,2024-07-02,India,Email,Standard
C0166,2024-05-02,India,Google Ads,Standard
C0167,2025-02-04,Canada,Referral,Basic
C0168,2024-10-20,Thailand,Email,Standard
C0169,2024-10-06,Thailand,Social Media,Basic
C0170,2024-07-16,India,Organic,Standard
C0171,2025-05-25,UK,Social Media,Standard
C0172,2024-05-23,Thailand,Referral,Standard
C0173,2024-07-19,Thailand,Organic,Basic
C0174,2024-05-03,Thailand,Organic,Basic
C0175,2024-07-05,Germany,Email,Basic
C0176,2024-11-21,Thailand,Organic,Basic
C0177,2025-04-08,USA,Social Media,Standard
C0178,2024-12-14,Thailand,Referral,Premium
C0179,2025-02-06,USA,Email,Basic
C0180,2024-12-11,Thailand,Email,Standard
C0181,2025-05-25,UK,Email,Premium
C0182,2024-05-26,Thailand,Social Media,Premium
C0183,2024-05-27,Australia,Organic,Basic
C0184,2025-05-03,Thailand,Google Ads,Premium
C0185,2024-12-03,UK,Google Ads,Basic
C0186,2025-04-17,Germany,Google Ads,Basic
C0187,2024-05-30,India,Organic,Basic
C0188,2025-02-18,UK,Social Media,Standard
C0189,2024-10-24,USA,Organic,Basic
C0190,2024-09-19,USA,Organic,Basic
C0191,2024-05-23,India,Referral,Basic
C0192,2024-12-11,Canada,Social Media,Premium
C0193,2024-01-02,India,Organic,Premium
C0194,2024-10-30,UK,Organic,Basic
C0195,2024-09-10,India,Organic,Premium
C0196,2025-03-28,USA,Email,Premium
C0197,2024-02-06,Thailand,Organic,Standard
C0198,2024-06-08,UK,Organic,Basic
C0199,2024-01-09,Canada,Google Ads,Standard
C0200,2024-08-20,Thailand,Social Media,Premium
C0201,2024-04-08,India,Google Ads,Standard
C0202,2024-07-26,Thailand,Social Media,Basic
C0203,2024-05-10,UK,Organic,Standard
C0204,2025-02-07,Thailand,Referral,Standard
C0205,2024-05-31,USA,Social Media,Standard
C0206,2024-02-23,Australia,Social Media,Basic
C0207,2024-04-29,USA,Social Media,Basic
C0208,2025-02-23,India,Referral,Premium
C0209,2025-02-25,Australia,Google Ads,Premium
C0210,2024-04-13,Canada,Organic,Basic
C0211,2024-09-10,Thailand,Google Ads,Premium
C0212,2024-08-14,USA,Social Media,Basic
C0213,2024-04-21,Thailand,Social Media,Standard
C0214,2025-05-24,Canada,Google Ads,Standard
C0215,2025-04-17,Canada,email,Premium
C0216,2024-04-08,UK,Email,Premium
C0217,2024-06-01,Germany,Referral,Basic
C0218,2024-12-03,UK,Google Ads,Premium
C0219,2024-06-11,India,Google Ads,Basic
C0220,2024-06-09,Thailand,Email,Standard
C0221,2025-02-01,Australia,Email,Standard
C0222,2024-10-03,Thailand,Referral,Standard
C0223,2025-05-18,Australia,Google Ads,Basic
C0224,2025-01-26,Australia,Social Media,Premium
C0225,2024-05-14,India,Google Ads,Basic
C0226,2024-07-13,Thailand,Google Ads,Basic
C0227,2025-02-04,USA,Organic,Standard
C0228,2024-02-02,Thailand,Social Media,Standard
C0229,2025-04-04,USA,Email,Premium
C0230,2025-04-14,Thailand,Email,Basic
C0231,2025-01-09,Canada,Google Ads,Basic
C0232,2024-01-22,UK,Referral,Premium
C0233,2024-02-07,USA,Organic,Standard
C0234,2024-08-17,USA,Social Media,Basic
C0235,2024-12-30,USA,Email,Standard
C0236,2025-03-13,India,Email,Standard
C0237,2024-10-09,UK,Organic,Standard
C0238,2024-01-27,Germany,Email,Standard
C0239,2024-08-13,UK,Google Ads,Premium
C0240,2024-10-03,Canada,Organic,Premium
C0241,2024-10-10,Germany,Google Ads,Standard
C0242,2025-04-25,Thailand,Referral,Basic
C0243,2025-03-28,Canada,Organic,Premium
C0244,2025-05-30,Thailand,Social Media,Standard
C0245,2025-06-30,Australia,Email,Standard
C0246,2024-07-10,USA,Google Ads,Basic
C0247,2024-02-18,Germany,Email,Premium
C0248,2025-05-26,Germany,Organic,Standard
C0249,2024-01-17,Australia,Organic,Basic
C0250,2024-06-20,Australia,Organic,Basic
C0251,2024-08-07,USA,Organic,Premium
C0252,2024-06-06,Thailand,Google Ads,Basic
C0253,2025-04-21,USA,Referral,Premium
C0254,2024-02-15,Thailand,Social Media,Standard
C0255,2025-01-07,India,Social Media,Standard
C0256,2025-06-01,USA,Organic,Basic
C0257,2024-04-08,Canada,Email,Basic
C0258,2024-02-06,India,Email,Premium
C0259,2024-10-06,Australia,Organic,Basic
C0260,2024-12-14,Thailand,Google Ads,Standard
C0261,2025-05-11,Germany,Google Ads,Basic
C0262,2024-10-28,Canada,Email,Basic
C0263,2024-06-29,UK,Email,Basic
C0264,2024-04-08,India,Social Media,Standard
C0265,2024-04-25,Australia,Social Media,Premium
C0266,2024-07-09,Thailand,Email,Basic
C0267,2024-09-09,UK,Referral,Basic
C0268,2024-06-09,USA,Referral,Basic
C0269,2024-09-12,Thailand,Email,Standard
C0270,2024-11-18,USA,Email,Standard
C0271,2024-05-07,Thailand,Google Ads,Premium
C0272,2024-01-18,Thailand,Referral,Standard
C0273,2024-11-18,Thailand,Referral,Standard
C0274,2024-10-14,Canada,Organic,Basic
C0275,2024-06-03,UK,Email,Premium
C0276,2025-05-04,Canada,Google Ads,Basic
C0277,2025-01-20,USA,Google Ads,Basic
C0278,2024-04-13,USA,Organic,Standard
C0279,2025-01-27,UK,Social Media,Standard
C0280,2024-09-02,USA,Social Media,Basic
C0281,2024-06-24,Thailand,Social Media,Standard
C0282,2024-02-08,India,Social Media,Standard
C0283,2025-04-21,Thailand,Social Media,Basic
C0284,2025-06-21,India,Email,Premium
C0285,2025-02-11,India,Google Ads,Standard
C0286,2025-06-08,Thailand,Organic,Basic
C0287,2025-05-20,Thailand,Social Media,Standard
C0288,2024-02-05,Australia,Organic,Basic
C0289,2024-01-20,USA,Social Media,Standard
C0290,2024-11-16,Thailand,Organic,Standard
C0291,2025-05-26,Canada,Organic,Basic
C0292,2025-02-03,Thailand,Organic,Standard
C0293,2025-04-15,India,Organic,Premium
C0294,2024-05-22,Canada,Social Media,Standard
C0295,2024-04-01,Thailand,Social Media,Premium
C0296,2024-12-19,Thailand,Google Ads,Basic
C0297,2024-02-20,Thailand,Organic,Basic
C0298,2024-07-08,,Organic,Basic
C0299,2024-05-04,Thailand,Organic,Basic
C0300,2024-05-29,India,Organic,Basic
C0301,2024-11-09,Thailand,Referral,Basic
C0302,2024-12-07,UK,Organic,Premium
C0303,2024-10-31,Canada,Email,Premium
C0304,2024-02-23,Australia,Organic,Standard
C0305,2025-03-19,India,Organic,Basic
C0306,2024-09-20,USA,Google Ads,Basic
C0307,2024-02-22,India,Google Ads,Basic
C0308,2024-01-05,UK,Organic,Standard
C0309,2024-04-12,USA,Organic,Premium
C0310,2024-07-14,Thailand,Email,Standard
C0311,2024-12-15,Germany,Organic,Basic
C0312,2024-02-16,USA,Organic,Standard
C0313,2024-09-25,Thailand,Referral,Basic
C0314,2025-01-04,USA,Google Ads,Basic
C0315,2024-04-15,USA,Google Ads,Standard
C0316,2024-04-29,Australia,Email,Standard
C0317,2024-02-27,India,Email,Basic
C0318,2024-12-11,Australia,Google Ads,Basic
C0319,2025-04-18,Thailand,Social Media,Premium
C0320,2024-04-26,USA,Social Media,Basic
C0321,2024-05-06,UK,Organic,Basic
C0322,2025-01-27,Thailand,Google Ads,Basic
C0323,2024-02-27,Thailand,Email,Basic
C0324,2025-05-27,Australia,Referral,Basic
C0325,2024-04-05,Thailand,Google Ads,Premium
C0326,2024-04-27,UK,Google Ads,Basic
C0327,2025-05-02,Thailand,Organic,Standard
C0328,2024-08-24,Thailand,Google Ads,Standard
C0329,2024-09-28,Thailand,Organic,Standard
C0330,2024-07-07,Canada,Email,Premium
C0331,2025-03-22,Australia,Organic,Premium
C0332,2024-09-03,Canada,Social Media,Basic
C0333,2024-03-16,UK,Organic,Standard
C0334,2024-06-02,Thailand,Email,Standard
C0335,2025-03-10,UK,Referral,Premium
C0336,2024-03-26,USA,Organic,Standard
C0337,2024-10-11,Germany,Google Ads,Premium
C0338,2024-08-07,Thailand,Email,Standard
C0339,2024-03-09,UK,Organic,Basic
C0340,2024-02-16,Thailand,Social Media,Standard
C0341,2024-04-03,USA,Organic,Premium
C0342,2025-03-28,India,Google Ads,Premium
C0343,2024-07-22,USA,Google Ads,Basic
C0344,2024-08-05,USA,Google Ads,Standard
C0345,2025-04-18,USA,Social Media,Basic
C0346,2025-03-07,USA,Email,Basic
C0347,2024-12-06,Australia,Organic,Basic
C0348,2024-10-15,Germany,Social Media,Basic
C0349,2024-09-10,Canada,Google Ads,Premium
C0350,2024-12-22,Australia,Social Media,Basic
C0351,2024-01-23,USA,Social Media,Premium
C0352,2025-06-05,India,Social Media,Basic
C0353,2024-04-09,USA,Google Ads,Basic
C0354,2024-06-28,Thailand,Email,Basic
C0355,2024-08-10,Germany,Social Media,Basic
C0356,2025-03-17,Thailand,Google Ads,Basic
C0357,2024-11-20,Germany,Organic,Basic
C0358,2025-05-30,USA,Social Media,Standard
C0359,2024-01-16,India,Referral,Basic
C0360,2024-12-01,India,Google Ads,Basic
C0361,2024-09-14,Germany,Organic,Basic
C0362,2025-05-11,India,Email,Premium
C0363,2024-06-08,India,Social Media,Premium
C0364,2025-04-19,Thailand,Referral,Standard
C0365,2025-01-14,UK,Organic,Basic
C0366,2025-06-28,Thailand,Organic,Basic
C0367,2025-03-02,India,Referral,Premium
C0368,2024-09-24,UK,Email,Basic
C0369,2025-02-20,India,Google Ads,Basic
C0370,2024-06-16,Thailand,Referral,Basic
C0371,2024-02-12,Thailand,Organic,Basic
C0372,2024-10-11,India,Google Ads,Basic
C0373,2025-01-31,Thailand,Organic,Standard
C0374,2024-01-12,Thailand,Email,Basic
C0375,2024-10-28,Thailand,Social Media,Standard
C0376,2024-09-09,Canada,Email,Basic
C0377,2025-05-13,India,Referral,Basic
C0378,2024-02-04,USA,Google Ads,Premium
C0379,2024-03-30,Thailand,Email,Basic
C0380,2025-02-21,USA,Organic,Premium
C0381,2024-04-24,Australia,Email,Standard
C0382,2024-07-14,India,Email,Basic
C0383,2025-05-15,Thailand,Organic,Premium
C0384,2025-05-07,Thailand,Email,Basic
C0385,2024-03-15,Thailand,Google Ads,Premium
C0386,2025-02-16,India,Social Media,Basic
C0387,2025-01-10,Australia,Google Ads,Premium
C0388,2025-02-23,Thailand,Social Media,Basic
C0389,2024-10-03,Thailand,Organic,Standard
C0390,2025-01-28,Thailand,Organic,Standard
C0391,2025-04-01,Canada,Google Ads,Premium
C0392,2024-07-10,Thailand,Google Ads,Premium
C0393,2024-04-08,Australia,Organic,Premium
C0394,2024-04-05,India,Social Media,Premium
C0395,2024-07-08,USA,Social Media,Basic
C0396,2024-02-06,Thailand,Google Ads,Basic
C0397,2025-01-03,Thailand,Organic,Basic
C0398,2025-06-08,India,Social Media,Basic
C0399,2024-10-05,Australia,Google Ads,Basic
C0400,2024-08-04,India,Social Media,Standard
C0401,2024-09-29,UK,Social Media,Basic
C0402,2024-03-02,Thailand,Social Media,Standard
C0403,2024-12-07,Canada,Google Ads,Basic
C0404,2025-01-31,Australia,Organic,Basic
C0405,2024-01-19,Thailand,Social Media,Standard
C0406,2024-06-25,Canada,Google Ads,Standard
C0407,2025-01-30,India,Social Media,Standard
C0408,2025-03-20,UK,Organic,Standard
C0409,2024-08-20,Australia,Organic,Basic
C0410,2024-03-16,Australia,Referral,Standard
C0411,2024-09-21,India,Social Media,Basic
C0412,2025-03-30,Thailand,Referral,Basic
C0413,2025-01-18,USA,Social Media,Basic
C0414,2025-05-20,Canada,Google Ads,Basic
C0415,2025-01-01,Thailand,Google Ads,Basic
C0416,2024-05-23,USA,Referral,Premium
C0417,2024-03-09,USA,Google Ads,Premium
C0418,2024-04-08,USA,Google Ads,Basic
C0419,2025-01-30,India,Organic,Basic
C0420,2024-01-25,Canada,Google Ads,Basic
C0421,2025-04-13,Thailand,Social Media,Basic
C0422,2025-04-28,Thailand,Email,Premium
C0423,2024-05-30,Thailand,Organic,Basic
C0424,2024-05-23,Germany,Email,Standard
C0425,2024-02-08,India,Organic,Basic
C0426,2024-04-18,Thailand,Organic,Premium
C0427,2024-02-11,Australia,Email,Basic
C0428,2024-07-04,Germany,Referral,Standard
C0429,2025-02-01,Germany,Google Ads,Basic
C0430,2024-08-10,Germany,Organic,Standard
C0431,2024-05-12,Thailand,Organic,Basic
C0432,2024-06-11,Australia,Social Media,Basic
C0433,2024-08-02,USA,Email,Premium
C0434,2024-08-22,Germany,Social Media,Premium
C0435,2024-01-09,India,Google Ads,Premium
C0436,2024-03-14,Australia,Social Media,Standard
C0437,2025-05-06,India,Email,Premium
C0438,2024-09-09,Thailand,Social Media,Basic
C0439,2024-08-17,UK,Email,Basic
C0440,2025-06-02,Canada,Referral,Basic
C0441,2024-06-22,Canada,Google Ads,Standard
C0442,2024-06-16,Thailand,Email,Basic
C0443,2024-06-18,Thailand,Email,Basic
C0444,2025-01-27,Thailand,Organic,Standard
C0445,2024-07-12,India,Social Media,Premium
C0446,2025-05-31,Australia,Organic,Basic
C0447,2024-01-29,Thailand,Google Ads,Basic
C0448,2024-06-13,UK,Email,Basic
C0449,2025-02-25,Germany,Google Ads,Basic
C0450,2024-12-04,India,Social Media,Basic
C0451,2025-05-10,UK,Social Media,Standard
C0452,2024-12-30,UK,Social Media,Standard
C0453,2024-12-07,UK,Organic,Standard
C0454,2025-05-14,Thailand,Organic,Basic
C0455,2025-05-25,UK,Social Media,Premium
C0456,2024-11-22,India,Email,Basic
C0457,2024-08-04,Germany,Email,Standard
C0458,2024-10-27,India,Organic,Premium
C0459,2024-05-11,Australia,Email,Basic
C0460,2024-03-10,Thailand,Organic,Basic
C0461,2024-09-08,USA,Referral,Premium
C0462,2025-02-18,Thailand,Organic,Basic
C0463,2025-03-20,Thailand,Google Ads,Standard
C0464,2024-06-30,India,Organic,Basic
C0465,2024-06-15,Canada,Google Ads,Standard
C0466,2024-03-31,Thailand,Email,Basic
C0467,2025-06-14,USA,Referral,Basic
C0468,2024-02-08,Australia,Referral,Standard
C0469,2024-05-05,Thailand,Email,Basic
C0470,2025-03-26,UK,Referral,Basic
C0471,2024-06-21,India,Referral,Basic
C0472,2024-08-07,India,Social Media,Basic
C0473,2024-02-27,Thailand,Social Media,Basic
C0474,2025-04-20,USA,Organic,Basic
C0475,2025-03-31,Australia,Google Ads,Premium
C0476,2024-12-26,UK,Organic,Basic
C0477,2024-01-01,Thailand,Organic,Standard
C0478,2025-01-21,Australia,Referral,Basic
C0479,2024-12-13,Thailand,Email,Basic
C0480,2024-07-08,Australia,Social Media,Premium
C0481,2025-05-19,Thailand,Social Media,Basic
C0482,2024-07-09,Canada,Social Media,Premium
C0483,2025-05-22,USA,Referral,Basic
C0484,2025-01-03,USA,Organic,Standard
C0485,2025-02-12,Thailand,Organic,Standard
C0486,2024-04-26,USA,Email,Premium
C0487,2024-05-13,Germany,Organic,Standard
C0488,2024-02-27,Canada,Organic,Standard
C0489,2024-06-21,USA,Email,Basic
C0490,2024-05-28,USA,Social Media,Basic
C0491,2024-03-20,India,Google Ads,Premium
C0492,2024-07-31,Germany,Email,Basic
C0493,2024-07-21,UK,Google Ads,Basic
C0494,2024-08-16,USA,Organic,Standard
C0495,2024-08-14,USA,Organic,Basic
C0496,2025-06-15,India,Social Media,Premium
C0497,2025-03-16,Thailand,Google Ads,Standard
C0498,2025-02-05,India,Social Media,Standard
C0499,2024-02-16,USA,Organic,Premium
C0500,2024-08-20,Australia,Social Media,Basic
C0501,2024-10-31,Thailand,Google Ads,Basic
C0502,2025-06-09,UK,Google Ads,Standard
C0503,2024-05-22,UK,Google Ads,Basic
C0504,2025-02-18,India,Social Media,Standard
C0505,2025-05-27,Thailand,Google Ads,Premium
C0506,2025-01-07,UK,Google Ads,Standard
C0507,2024-09-15,UK,Referral,Basic
C0508,2025-04-15,UK,Social Media,Premium
C0509,2024-01-12,India,Email,Standard
C0510,2024-11-25,India,Social Media,Standard
C0511,2024-12-23,Australia,Email,Basic
C0512,2025-02-11,Thailand,Organic,Premium
C0513,2025-01-07,Australia,Google Ads,Standard
C0514,2024-01-08,UK,Referral,Standard
C0515,2024-05-01,Thailand,Referral,Premium
C0516,2024-12-13,Thailand,Email,Basic
C0517,2024-03-30,USA,Google Ads,Standard
C0518,2024-11-11,Australia,Organic,Premium
C0519,2024-06-26,India,Referral,Basic
C0520,2025-06-23,Australia,Referral,Standard
C0521,2024-02-10,UK,Google Ads,Premium
C0522,2025-05-16,USA,Social Media,Standard
C0523,2024-05-24,Thailand,Social Media,Standard
C0524,2024-07-19,USA,Google Ads,Premium
C0525,2025-04-05,USA,Organic,Premium
C0526,2025-06-30,Thailand,Google Ads,Basic
C0527,2024-09-09,Thailand,Social Media,Basic
C0528,2025-01-24,UK,Social Media,Basic
C0529,2024-09-12,India,Email,Standard
C0530,2025-03-25,Canada,Referral,Standard
C0531,2024-01-10,Canada,Organic,Standard
C0532,2024-08-29,India,Google Ads,Basic
C0533,2024-09-07,USA,Social Media,Standard
C0534,2024-01-05,India,Social Media,Basic
C0535,2024-04-28,Australia,Google Ads,Standard
C0536,2025-01-08,Thailand,Email,Standard
C0537,2024-03-05,USA,Organic,Basic
C0538,2024-05-25,Australia,Google Ads,Basic
C0539,2024-08-11,USA,Google Ads,Standard
C0540,2024-08-26,UK,Organic,Standard
C0541,2024-06-25,UK,Social Media,Basic
C0542,2024-10-08,Thailand,Google Ads,Premium
C0543,2024-03-03,USA,Google Ads,Standard
C0544,2024-08-04,USA,Social Media,Premium
C0545,2025-04-05,Thailand,Organic,Standard
C0546,2024-04-14,Thailand,Organic,Standard
C0547,2024-04-08,Australia,Social Media,Premium
C0548,2025-05-25,Thailand,Google Ads,Standard
C0549,2025-01-19,UK,Social Media,Standard
C0550,2025-02-08,Thailand,Social Media,Basic
C0551,2025-06-01,Canada,Social Media,Standard
C0552,2025-04-20,Thailand,Referral,Basic
C0553,2025-03-12,USA,Google Ads,Basic
C0554,2024-01-23,Germany,Google Ads,Basic
C0555,2025-04-02,Germany,Email,Basic
C0556,2024-03-23,Thailand,Organic,Premium
C0557,2024-05-24,Australia,Google Ads,Basic
C0558,2024-03-25,USA,Email,Standard
C0559,2024-03-18,UK,Referral,Premium
C0560,2025-04-01,Thailand,Google Ads,Standard
C0561,2024-01-01,Thailand,Google Ads,Basic
C0562,2024-02-20,India,Email,Standard
C0563,2025-03-21,UK,Organic,Standard
C0564,2025-03-24,USA,Organic,Standard
C0565,2025-05-02,India,Email,Standard
C0566,2024-02-03,Australia,Organic,Premium
C0567,2024-12-13,Thailand,Google Ads,Standard
C0568,2024-04-04,India,Referral,Basic
C0569,2024-03-12,Thailand,Referral,Standard
C0570,2024-06-02,Australia,Google Ads,Basic
C0571,2024-09-06,India,Organic,Premium
C0572,2025-03-13,Canada,Social Media,Basic
C0573,2024-04-27,Thailand,Referral,Basic
C0574,2024-11-01,Thailand,Organic,Premium
C0575,2024-09-24,Thailand,Social Media,Standard
C0576,2024-02-23,Thailand,Email,Basic
C0577,2024-08-23,Thailand,Social Media,Standard
C0578,2025-01-23,Germany,Referral,Premium
C0579,2025-02-04,Thailand,Organic,Basic
C0580,2024-10-29,Thailand,Referral,Premium
C0581,2024-07-25,Australia,Google Ads,Basic
C0582,2024-08-16,USA,Referral,Standard
C0583,2024-03-15,Australia,Google Ads,Premium
C0584,2025-03-10,Thailand,Social Media,Basic
C0585,2024-04-12,UK,Organic,Standard
C0586,2025-02-25,Thailand,Email,Basic
C0587,2024-11-01,Thailand,Organic,Standard
C0588,2024-04-07,Germany,Referral,Standard
C0589,2024-11-30,Thailand,Social Media,Standard
C0590,2025-03-10,UK,Social Media,Basic
C0591,2025-03-22,USA,Referral,Basic
C0592,2024-11-03,USA,Organic,Basic
C0593,2024-09-05,Germany,Email,Basic
C0594,2024-06-14,Thailand,Organic,Standard
C0595,2025-04-25,India,Organic,Premium
C0596,2024-11-30,Canada,Organic,Standard
C0597,2025-06-25,UK,Google Ads,Standard
C0598,2024-04-15,Canada,Email,Premium
C0599,2024-03-21,Thailand,Organic,Standard
C0600,2024-05-12,USA,Organic,Premium
C0601,2024-05-17,Thailand,Organic,Standard
C0602,2024-07-02,India,Referral,Basic
C0603,2025-02-04,Canada,Social Media,Basic
